ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
00014,с.,Абланица,BLG,BLG52,BLG52-01,3,5,6,1864,01,1
00028,с.,Абланица,LOV,LOV18,LOV18-00,3,7,5,1864,10,2
00881,с.,Абланица,PAZ,PAZ08,PAZ08-01,3,7,8,1864,12,3
00031,с.,Абрит,DOB,DOB20,DOB20-00,3,7,3,1864,24,4
00059,с.,Аврамово,BLG,BLG53,BLG53-01,3,5,7,1864,01,5
00062,с.,Аврамово,KRZ,KRZ02,KRZ02-00,3,8,6,1864,08,6
00084,с.,Аврен,VAR,VAR01,VAR01-00,3,5,4,1864,03,7
00093,с.,Аврен,KRZ,KRZ15,KRZ15-01,3,6,6,1864,08,8
00103,с.,Агатово,GAB,GAB29,GAB29-01,3,7,5,1864,07,9
00117,с.,Азманите,GAB,GAB35,GAB35-00,3,8,6,1864,07,10
00895,с.,Айдемир,SLS,SLS31,SLS31-01,3,4,1,1864,18,11
00148,с.,Айрово,KRZ,KRZ16,KRZ16-23,3,5,4,1864,08,12
00151,гр.,Айтос,BGS,BGS01,BGS01-00,1,2,2,1864,02,13
00165,с.,Аканджиево,PAZ,PAZ04,PAZ04-07,3,6,4,1864,12,14
00179,с.,Акациево,VID,VID09,VID09-00,3,8,5,1864,05,15
00182,гр.,Аксаково,VAR,VAR02,VAR02-00,1,3,3,1864,03,16
00196,с.,Аламовци,SML,SML11,SML11-01,3,7,7,1864,20,17
00206,с.,Албанци,KRZ,KRZ08,KRZ08-00,3,8,5,1864,08,18
00215,с.,Алваново,TGV,TGV35,TGV35-00,3,7,3,1864,25,19
00223,с.,Алдомировци,SFO,SFO45,SFO45-01,3,5,6,1864,22,20
00254,с.,Алеко Константиново,PAZ,PAZ19,PAZ19-01,3,5,4,1864,12,21
00237,с.,Алеково,VTR,VTR28,VTR28-01,3,6,2,1864,04,22
00240,с.,Алеково,SLS,SLS01,SLS01-01,3,6,4,1864,18,23
00268,с.,Александрия,DOB,DOB20,DOB20-00,3,8,3,1864,24,24
00271,с.,Александрово,BGS,BGS17,BGS17-00,3,7,2,1864,02,25
00285,с.,Александрово,VTR,VTR28,VTR28-00,3,7,2,1864,04,26
00299,с.,Александрово,LOV,LOV18,LOV18-02,3,5,3,1864,10,27
00309,с.,Александрово,SZR,SZR24,SZR24-01,3,5,5,1864,23,28
00312,с.,Александрово,TGV,TGV35,TGV35-00,3,7,5,1864,25,29
00326,с.,Александрово,HKV,HKV34,HKV34-00,3,7,4,1864,26,30
00330,с.,Александрово,SHU,SHU25,SHU25-00,3,8,4,1864,27,31
00343,с.,Александрово,JAM,JAM22,JAM22-00,3,7,3,1864,28,32
00360,с.,Александър Стамболийски,DOB,DOB12,DOB12-00,3,8,2,1864,24,33
83421,с.,Алендарова,PAZ,PAZ08,PAZ08-14,3,7,8,1864,12,34
00388,с.,Алиговска,SML,SML31,SML31-01,3,8,8,1864,20,35
00391,с.,Алино,SFO,SFO39,SFO39-00,3,7,7,1864,22,36
00401,с.,Алтимир,VRC,VRC08,VRC08-01,3,6,2,1864,06,37
00415,гр.,Алфатар,SLS,SLS01,SLS01-00,1,4,3,1864,18,38
00429,с.,Алцек,DOB,DOB15,DOB15-02,3,7,4,1864,24,39
00446,с.,Ангел войвода,HKV,HKV19,HKV19-01,3,6,5,1864,26,40
00432,с.,Ангеларий,DOB,DOB27,DOB27-00,3,7,4,1864,24,41
00456,с.,Ангелов,GAB,GAB05,GAB05-00,3,8,6,1864,07,42
00480,с.,Анево,PDV,PDV43,PDV43-01,3,5,5,1864,15,43
00494,с.,Антимово,SLS,SLS34,SLS34-00,3,8,3,1864,18,44
00919,с.,Антимово,VID,VID09,VID09-02,3,6,1,1864,05,45
00504,с.,Антон,SFO,SFO54,SFO54-00,3,5,7,1864,22,46
00518,гр.,Антоново,TGV,TGV02,TGV02-00,1,4,5,1864,25,47
00521,с.,Аплаци,VTR,VTR13,VTR13-00,3,8,6,1864,04,48
00549,с.,Априлово,SFO,SFO10,SFO10-01,3,5,6,1864,22,49
00552,с.,Априлово,SZR,SZR07,SZR07-00,3,7,3,1864,23,50
00566,с.,Априлово,TGV,TGV24,TGV24-01,3,7,4,1864,25,51
00571,с.,Априлци,PAZ,PAZ19,PAZ19-02,3,6,4,1864,12,52
00905,с.,Априлци,KRZ,KRZ14,KRZ14-46,3,7,5,1864,08,53
52218,гр.,Априлци,LOV,LOV02,LOV02-00,1,4,6,1864,10,54
00583,с.,Арбанаси,VTR,VTR04,VTR04-00,3,4,5,1864,04,55
